ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGATETYPE,TARGET TYPE 2,TARGET TYPE 3,REGION,TYPE,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4,,chinese,Information,longitude,latitude
11,2015/7/29,China,Liuzhou,未知,0,,,,,1,6,Private Citizens & Property,,,East Asia,武装袭击,,,Melee,,,,,柳州马厂村,男子持斧头砍人,109.4,24.33
12,2015/7/20,China,Heze,未知,0,,,,,3,23,Private Citizens & Property,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,山东菏泽单县,山东单县7·20爆炸案,116.07,34.82
13,2015/7/13,China,Shenyang,未知,0,,,,,3,0,Police,,,East Asia,武装袭击,,,Melee,,,,,辽宁沈阳,辽宁沈阳警方击毙3名新疆暴恐分子,123.38,41.8
14,2015/6/22,China,Kashgar,Uighur Separatists,0,,,,,33,5,Police,Private Citizens & Property,,East Asia,武装袭击,,,Explosives/Bombs/Dynamite,Melee,,,,新疆喀什塔什库尔干,,75.22,37.76
15,2015/6/17,China,Xian,Uighur Separatists,0,,,,,1,0,Transportation,,,East Asia,徒手袭击,,,Melee,,,,,陕西西安,一男子火车站袭警被警察开枪击倒,108.95,34.27
16,2015/5/12,China,Hotan,Uighur Separatists,0,,,,,3,4,Police,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,新疆和田,,79.94,37.12
17,2015/5/11,China,Hotan,Uighur Separatists,0,,,,,3,0,Police,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,新疆和田,,79.9415,37.125
18,2015/3/12,China,Kashgar,Uighur Separatists,0,,,,,4,10,Business,,,East Asia,武装袭击,针对设施的攻击,,Incendiary,Melee,,,,新疆喀什,,75.94,39.52
19,2015/3/8,China,Yarkant district,Uighur Separatists,0,,,,,11,4,Military,,,East Asia,暗杀,,,Melee,,,,,新疆莎车县,,77.25,38.45
20,2015/3/6,China,Guangzhou,Uighur Separatists,0,,,,,1,9,Transportation,,,East Asia,武装袭击,,,Melee,,,,,广东广州,3.6广州火车站持刀砍人事件,113.23,23.16
21,2015/2/13,China,Hotan district,Uighur Separatists,0,,,,,8,7,Police,Private Citizens & Property,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,新疆和田,,79.95,37.1
22,2014/11/28,China,Yarkant,未知,0,,,,,15,14,Private Citizens & Property,,,East Asia,武装袭击,,,Explosives/Bombs/Dynamite,Melee,,,,新疆莎车县,11·28新疆莎车暴恐案,77.27,38.46
23,2014/10/12,China,Bachu district,Uighur Separatists,0,,,,,22,24,Police,Private Citizens & Property,,East Asia,武装袭击,,,Explosives/Bombs/Dynamite,Melee,,,,新疆巴楚县,,78.59,39.78
24,2014/9/21,China,Luntai district,Uighur Separatists,0,,,,,50,54,Business,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,新疆轮台,9·21新疆轮台暴恐案,84.25,41.77
25,2014/8/20,China,Longkou,未知,0,,,,,1,19,Transportation,,,East Asia,武装袭击,,,Incendiary,,,,,山东龙口,8·20山东烟台龙口公交车纵火案,120.38,37.5
26,2014/7/30,China,Kashgar,Uighur Separatists,0,,,,,1,0,Religious Figures/Institutions,,,East Asia,暗杀,,,Melee,,,,,新疆喀什,,75.93,39.53
27,2014/7/28,China,Elixku,Turkestan Islamic Party,0,,,,,48,7,Government (General),Police,,East Asia,武装袭击,,,Melee,,,,,新疆莎车县艾里西湖镇和荒地镇,7·28新疆莎车暴恐袭击案,77.25,38.65
28,2014/7/18,China,Aktokay,Uighur Separatists,0,,,,,1,0,Government (General),,,East Asia,未知,,,未知,,,,,新疆富蕴县,,89.44,47.05
29,2014/7/15,China,Xining,未知,0,,,,,0,1,Airports and Aircraft,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,青海西宁,7·15西宁机场爆炸事件,101.74,36.56
30,2014/7/12,China,Aksu,Uighur Separatists,0,,,,,5,0,Private Citizens & Property,,,East Asia,武装袭击,,,Melee,,,,,新疆阿克苏,,80.29,41.15
31,2014/6/21,China,Yecheng district,未知,0,,,,,13,3,Police,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs),,新疆叶城县,6·21新疆叶城暴恐分子袭击公安局案,77.42,37.89
32,2014/6/20,China,Karakax district,未知,0,,,,,5,0,Police,,,East Asia,武装袭击,,,Incendiary,Melee,,,,新疆墨玉县,6.20墨玉县芒来乡袭击案,79.74,37.31
33,2014/6/15,China,Hotan district,Uighur Separatists,0,,,,,2,5,Business,,,East Asia,武装袭击,,,Melee,,,,,新疆和田,6·15新疆和田砍杀案件,79.94,37.13
34,2014/6/8,China,Anda,未知,0,,,,,0,2,Business,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,黑龙江安达市,6·8黑龙江安达德克士快餐厅爆炸事件,125.33,46.42
